1b9eb2513658bd64719c0a2a5e5a2626d4d6e5a9,/,/,    Update Jackson to 2.13.1,/,/,100
c9d03dbc6cb49f82054b51a1bca5c40973a7eac1,FLUME-3386,Dependency upgrade,flume-ng-sdk uses vulnerable version of netty,,Major,100
c228329522a967ee1180fdb2776d257780a092cc,FLUME-3398,Improvement,Upgrade Kafka to a supported version.,,Major,100
7063f83df16501fdd1b6f54b159787073354c07d,FLUME-3397,Improvement,Upgrade Log4 to 2.17.1 and SLF4J to 1.7.32,,Major,100
1115f2a2338a8a2527b97e6a43ed6852b32a04b1,/,/,    Update log4j2 dependency to 2.16.0 (#349),/,/,100
32a0295bee7c72ef9ebc8e6ea701f3f13413937e,/,/,    Update log4j2 dependency (#348),/,/,100
9b9c9bf7e54435bd5ac48eb9e51174e19e66802f,/,/,    Update checkstyle and maven checkstyle plugin,/,/,100
89ddb2a18380af0576531af69d6a48ce44f264a8,/,/,    Fix unit tests,/,/,100
c48877d986dcbe4a67fa92df29324d9b79ec4ccb,FLUME-3335,Improvement,Support configuration and reconfiguration via HTTP(S),Configuration,Major,100
2b4d546e41f1f8256633dfa3f62810aa2ebffdf3,FLUME-3335,Improvement,Support configuration and reconfiguration via HTTP(S),Configuration,Major,99.08906883
ce6db547b3d08a5a9b0c7c47080b304fe00e421d,FLUME-3389,Improvement,Build and test Apache Flume on ARM64 CPU architecture,Build,Major,100
59ffd4f871171550e7b40d8193894549b97fe1f4,FLUME-3368,Improvement,Update Jackson to 2.9.10,,Major,100
62c0c3df63d86c333548da1411e54e8e94686a02,/,/,    Ignore PMD violations in generated Thrift source (#325),/,/,100
7b3149071a19f4a51425128a276d69fd688a0b50,FLUME-3360,Bug,Maven assemble failed on macOS,Build,Minor,100
5c9bfe6dc745d85f2459958b767e6e05550d8a81,FLUME-3352,Bug,Unnecessary canary test will block on readonly spooldir while another trackerdir is set.,Sinks+Sources,Blocker,100
02bb8e6854c8e5d1850a07a7fe5e3338178d679f,FLUME-3355,Improvement,Upgrade Kafka to 2.3.1,Sinks+Sources,Major,100
f8269df561655f3488e0ef3503f0d30152c7d4a2,/,/,    Fix minor typo in docs,/,/,100
867c0a2f62711abcb91c85c2c1c1dbcbbc1025b4,/,/,    JDK 11: upgrade to Thrift 0.13,/,/,100
bba1997705cb94393df69b793d75249ee689546f,/,/,    JDK 11: Exclude hbase-annotations module,/,/,100
9e0bc5bf4865673e6989ba887d27f468991c1e27,/,/,    maven: Add WSO2 repo for ua_parser:ua-parser dep,/,/,100
9dafe98972a652aa1a202c6df9c08139d2bea592,FLUME-3345,Improvement,Add Kudu Flume Sinks,Sinks+Sources,Major,99.17695473
4270af5658758959b4436d2a1975b209d382b977,/,/,    Fix broken build,/,/,100
e4af39b046537885551866463c56397ec0991a09,/,/,"    Revert ""Fix broken build""",/,/,100
74dc4ef0f9de8a79a521de1ddff80ec0f81bc32b,/,/,    Fix broken build,/,/,100
a3c267854d5490348d6c566a339feea91258cace,/,/,    Fix minor typo in EmbeddedAgent javadoc,/,/,100
adc7d81b1a154f009e94e4600e543806a61c7c36,/,/,    Merge pull request #294 from xiaobai-Fei/trunk,/,/,100
66fe19916736aee9d94b8e2de2b672fcd5e38e7c,/,/,    It seems there are some mistakes in user doc please verify it,/,/,100
435057c758cafd0c7d6ee0852f19d17c29203c36,FLUME-3338,Improvement,Doc Flume Recoverability with Kafka,Docs,Minor,100
04e7d8ebc4ba56023c032e9b1992dd7bef0de257,/,/,    fix typo,/,/,100
e9dcdc310e33f8bf86a4569c40c477192cfc298f,/,/,    Remove redundant placeholder in log format,/,/,100
6f33de9bfca7f6d4a30043c0387f2c534dac7440,FLUME-3328,Bug,Fix Deprecated Properties table of HDFS Sink,Docs,Major,100
e7f8a1ed2deb00d6b14761aa77a55389655a2f63,/,/,    fix bugs in log parameter,/,/,100
fcdd9e21c7ab9ab3d4007c802c12404d876e9e73,/,/,    Update User Guide In Hive Sink and Hdfs Sink,/,/,100
7d3396f26dc1541e9d2a540d50d15a15c38acb74,FLUME-3311,Bug,Update Wrong Use In HDFS Sink,,Major,100
606eabb09997fa939735b5600f526a99895c350c,FLUME-3314,Bug,Flume kafka source/channel throws NPE when migrateOffsets() is called on nonexistent topics,,Minor,100
41902ebc998ca31de4ddc0fb89136a2e70b236f9,FLUME-3316,Bug,Syslog Rfc3164Date test fails when the test date falls on a leap day,,Major,100
5d29402f8def1fd3bb3f24c9d30bebb1e3806619,/,/,    Remove outdated reference to 0.9.x and 1.4.x line from the User Guide,/,/,100
1dea936538c14e5de50302ddf01a633c7766197b,/,/,    Make sign-checksum-artifact.sh executable,/,/,100
bf5d6eb618ed13ac1cb36d152f64d917e972b9c4,/,/,    Make license-diff.sh work on macOS,/,/,100
3d7b9ff400521fba7b0ed30926c11138f44669bd,FLUME-3285,Sub-task,Update pom.xml version on trunk,,Major,100
dd686b12040112f14113dad06575fccf1ff52104,/,/,    Updating Flume version in RELEASE-NOTES for release 1.9.0,/,/,100
9855f0680a7404820b0cd98dc6bd6af6e7b604e4,FLUME-3289,Sub-task,Update ChangeLog for 1.9 Release,,Major,100
7509ed2aae65c5d80e40cb6f0fd7200589784a64,FLUME-3287,Sub-task,Update License file for 1.9 release,,Major,100
dd7bfb3c0742fa8fab43f4bc443147cc369c046a,FLUME-3299,Bug,Fix log4j scopes in pom files,,Major,100
4ae19e8f9701399540501256ec0cce29254083fd,FLUME-3298,Bug,Make hadoop-common optional in flume-ng-hadoop-credential-store-config-filter,,Major,100
85e0b4e646b838e471c43d8bcb08d4cc724ff866,FLUME-3183,Task,Maven: generate SHA-512 checksum during deploy,,Minor,100
7419f05ee19cee63b9a3faf876a139bd56894634,FLUME-2989,Bug,Kafka Channel metrics missing eventTakeAttemptCount and eventPutAttemptCount,Kafka Channel,Minor,94.70127061
84b6263cbd4c771144186d4c561e12ff569e1887,FLUME-1342,Documentation,Document JMX monitoring API,,Major,100
23473e1d5b08e1f40be49d66da64f89c1d7a1c68,FLUME-2723,Documentation,Document the requirement that Channel&apos;s transactionCapacity &gt;= batchSize of the source/sink,,Minor,100
