CommitID,NMF,TotalAddLines,TotalDeleteLines,LC,FileAdd,FileDelete,NAD,NDEV,NUC,AGE,NS,ND,Entropy,TLMF,EXP,REXP,CommitComplexity,LastCommitComplexity,CFC,CommitTokenCount,LastCommitTokenCount,NCC,CommitMethodNum,LastCommitMethodNum,NMC,a2a
a1379f360dade730e6fea1e87682e4ba2b143117,1,2,0,2,0,0,0,2,3,2,1,1,0,348,38,11,66,66,0,2472,2448,24,15,15,0,100
3a35f0255776e9ffb09e47a4e7b4c3478cbe13b3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,12,0,0,0,0,0,0,0,0,0,100
32e1c96eefc53182db977cb89f610ee01f7520c7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,100
c3dfae2a53ebbe29c953b905848096c093fc41ee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,100
34ff4e91e8cc49584b8131dcf0abd435eb56730b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,100
448ce8a79b243238163e16db0950d9de797d579b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,0,0,0,0,0,0,0,0,0,100
e69986c6a25b3180cacb83c507062af58ec972a7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0,100
0f8a4d69915294bd6a4fb31d46115d4ced7cf9fd,1,0,158,158,0,0,0,2,2,12,1,1,0,106,22,20,0,24,24,0,598,598,0,17,17,99.84953355
9d8ae0732090c0a9ecd95dd2c71a5fab83f3f2ca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,21,0,0,0,0,0,0,0,0,0,100
6945cc86b78f8b3f1bb789fb41c6581968e65998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,22,0,0,0,0,0,0,0,0,0,100
a59f2734b74fe42927bb5cee30cec050378a3ee2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,12,0,0,0,0,0,0,0,0,0,100
86c7ba9846725bd26fa632f1b1656ab86ff357d6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,13,0,0,0,0,0,0,0,0,0,100
e42ef964c5376ca25c7f7e4c4118d9877c3f9c52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,14,0,0,0,0,0,0,0,0,0,100
c916771af61650198447db3dd37b542c945e11d1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,15,0,0,0,0,0,0,0,0,0,100
ec7c76fb7d9ffcc4f40205f54543c3fa14ae3188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,16,0,0,0,0,0,0,0,0,0,100
f81e548993d31037e70e3e4e7837c9270e387faf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,17,0,0,0,0,0,0,0,0,0,100
c06535986cbb07c4cbb8beb82e40d8a7a00483d6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,18,0,0,0,0,0,0,0,0,0,100
