4a5edf640fb9e54eb22ee5421ba49cab9583a598,WW-5342,,,,,100
a755c30cad882939a58adf083fa91fc10e8dc53a,WW-5341,,,,,100
7c1c674a023d30fcb50c8ff6e57455641208ba94,WW-5341,,,,,100
a352132f00baf771c25451281758f6764c277787,WW-5341,,,,,100
1bbcc17c747210eaea27a0e9182971b7bca075d0,WW-5341,,,,,100
a9666272eb270ca836e537c90252d4e1f232ecb1,WW-5341,,,,,100
c57015749dd6af2a00693edef4395bb1cb279c9e,WW-5341,,,,,100
d6fcfd9c275c289f8ee5bcfb53f93b6980f2c19c,WW-5341,,,,,100
699786e190ee0d12e72d43615d4ad2d9ada5bb76,WW-5341,,,,,100
32e42b3ecd1298eb3ab96a79e52daab44bf6d2dc,/,/,    [maven-release-plugin] prepare for next development iteration,/,/,100
04e92463898df31439b1544036085c565dc210fd,/,/,    [maven-release-plugin] prepare release STRUTS_6_3_0,/,/,100
555a3a37ba9d426f944abbd13d66f43ba2876e45,WW-5336,Improvement,Merge OgnlTool class into StrutsUtil class,Core,Minor,100
6e5a1a07f0c6ca6b1238fb0ef414ffdd74e22af9,WW-5336,Improvement,Merge OgnlTool class into StrutsUtil class,Core,Minor,100
215541146d894b70e7315377b64def355533e248,WW-5336,Improvement,Merge OgnlTool class into StrutsUtil class,Core,Minor,100
3b515b1a781e5335a29cea33b7c74bf8a82aefcc,WW-5336,Improvement,Merge OgnlTool class into StrutsUtil class,Core,Minor,99.95425136
c087f2e64c1c583657fe9c35e85f86bc3f352237,/,/,    Merge pull request #737 from apache/fix/drops-duplicated-dependency,/,/,100
947c6c8a6aaedb5d00ea8ed09773064679c1a895,/,/,    Drops duplicated dependency,/,/,99.95425136
35b0a6887fc2299c51fa5da9d8f2fd873086228f,WW-5336,Improvement,Merge OgnlTool class into StrutsUtil class,Core,Minor,99.9673224
6b13e8ac3aadbdd08b6afac989df16c83be6f0ac,WW-5336,Improvement,Merge OgnlTool class into StrutsUtil class,Core,Minor,100
0f068d37aea4755a5b301e77d311e89aee05017a,WW-5336,Improvement,Merge OgnlTool class into StrutsUtil class,Core,Minor,100
85e8d819ef6002208c0fa8e8d5b8f74a892e8e27,WW-5336,Improvement,Merge OgnlTool class into StrutsUtil class,Core,Minor,99.96733734
12cd92cb62d6d644781995d0d26e9c76e64cff3e,WW-5336,Improvement,Merge OgnlTool class into StrutsUtil class,Core,Minor,100
e8614a99dd69fac81af1ac6fec4e413faef970ab,WW-5336,Improvement,Merge OgnlTool class into StrutsUtil class,Core,Minor,100
709434eebc106c48b115550a0826ae12a61fa1fb,WW-5336,Improvement,Merge OgnlTool class into StrutsUtil class,Core,Minor,100
e75f8d82b5eb53c35c4737e7b5f17d37f35d97a3,WW-5337,,,,,100
0ef086c89b6c1d7ae3d71c38a1081ec2830a9946,WW-5334,Improvement,Misc VelocityManager code cleanup,Plugin - Velocity,Minor,99.98693323
87f80f4738971780bccca84357638acaa28e490a,/,/,    Merge pull request #728 from apache/feature/codeowners,/,/,100
94a3e6bd95407974b1a5f1ccaebab1c6d215e5a0,WW-5334,Improvement,Misc VelocityManager code cleanup,Plugin - Velocity,Minor,99.89542484
783063c66f0ba759e22850cba8b9c8d09ae137a5,WW-5337,,,,,100
270ec4ad71a2fdbc41e2b01ad59615f31eebc2a9,WW-5337,,,,,100
a228b14a487514caffa7b6850516a9d4e100f6fd,WW-5337,,,,,100
b0f1ef1f8b97a7fc5df129949472d01b1f02cf1d,WW-5337,,,,,99.94771242
f31ba637c863a3eec37eea9da9bb7b646538a3aa,WW-5331,Bug,Access to request attributes via tags is broken,Core Tags,Major,99.94771242
72a5d213327ab612029e5f58d1131ae116098c1f,WW-5337,,,,,100
746c7541326ba809f16bceef8fea4215793b5d62,WW-5337,,,,,100
e53dd7dd5e8f0f8d9aa3244180cb6394bb00ed07,WW-5337,,,,,100
4145d1af14a1b39dd0970159171f24058d845834,WW-5337,,,,,100
841705cadfd38b5460915375b5e977131f3988eb,WW-5337,,,,,100
393eb8c0f89f802dffb7c6d0d20da4bdfd73fa82,WW-5337,,,,,100
bb68ce6ae5a3cff8f35844f4533c4007370c30e8,WW-5337,,,,,99.90844886
4a678f6bbbe240ee6ee4e85161e487163ab7f475,WW-5331,Bug,Access to request attributes via tags is broken,Core Tags,Major,99.85613393
dc43c891da38f219835ed7b77b3eb0d19a1f5c78,WW-5334,Improvement,Misc VelocityManager code cleanup,Plugin - Velocity,Minor,99.93463198
22a6ae9d63527fe11fd53ff24f38700854699157,WW-5334,Improvement,Misc VelocityManager code cleanup,Plugin - Velocity,Minor,98.61732132
94c1b2a29b09af5e03e130f462ce0a5a28576ae2,WW-5334,Improvement,Misc VelocityManager code cleanup,Plugin - Velocity,Minor,100
d70ad5b737824dd17d14d30b67ed24fa03830d46,WW-5334,Improvement,Misc VelocityManager code cleanup,Plugin - Velocity,Minor,100
