175ae0862f9268278e37d78fd2da33daa5443574,OLTU-131,Bug,Signature parsing from access token is broken for character encodings that are not single-byte,oauth2-jwt,Critical,100
784a843c5eaab9e14ade70ebfcf3966ffc48d750,OLTU-133,New Feature,Add HS256 implementation of SignatureMethod,jose-jws,Major,97.74288518
6c12a6964d7dd2b56588fbeb1f693605eee8746a,OLTU-132,Bug,SignatureMethod should take in consideration also the header,jose-jws,Major,99.80276134
c34ed8251661aab12c37332a6af6eef4a7fbfb27,OLTU-132,Bug,SignatureMethod should take in consideration also the header,jose-jws,Major,97.53694581
79e40b3f2067f57970204b03a29b3d505db7f4ce,OLTU-131,Bug,Signature parsing from access token is broken for character encodings that are not single-byte,oauth2-jwt,Critical,100
1d5c3b5ad4a941c9f1c3788718ba431a363dc7fc,/,/,    @releng added svn:ignore,/,/,100
45154267eead371b30ea4f538a4113ac8381af3a,/,/,    @releng added svn:ignore,/,/,100
b9e8afc95463ff8036961ee468ee2a390bfdbfb4,/,/,    @releng added svn:ignore,/,/,100
39f602caf27d28f76ff005c013527def15bb3ada,OLTU-123,Improvement,logo for Apache Oltu,site,Major,100
2e3fca10109b22d56251c6dbb1e17dc24be6c773,OLTU-124,Improvement,Replace Jettison with org.json,oauth2-jwt,Major,100
019b8b23e30d49dedcbed4d36a6387fc157bf396,OLTU-123,Improvement,logo for Apache Oltu,site,Major,100
b5b58abba529108bfea6c71ac20bfb6ba8a776c6,/,/,    @releng: updated ignore list,/,/,100
c8d6d4b91c8e213e238db1dd0bdaf0badd822b36,OLTU-125,Sub-task,Create a &apos;commons&apos; module for JSON reader/writer,oauth2-jwt,Major,92.75653924
36fa9a8ee803422c131ecaea3912850c66eb0b3f,/,/,    releng: updated ignore list,/,/,100
abba9ab09bbf5d703297bb7f1dcb5850bab6cb81,OLTU-124,Improvement,Replace Jettison with org.json,oauth2-jwt,Major,100
31ec1f31a124ab9acdf47be7172487ee745a94f3,OLTU-122,Bug,Broken Authorization Endpoint error page ,demo-client,Minor,100
cd47200239c466b0f2f492b87ae27c492447bb4e,OLTU-121,Improvement,Make OAuthProblemException extensible,,Trivial,100
cf19988c2cdb91132d440ad5bc7f6b80188ad704,OLTU-118,Sub-task,Implement JWS of the JOSE working group,jose-jws,Major,100
40957981f84d302d9c6231b4ea5143c2baab9b2d,OLTU-118,Sub-task,Implement JWS of the JOSE working group,jose-jws,Major,100
333478c7d9775647ad50eac6d68691046a08b925,OLTU-119,Improvement,Add a css to demo application,demo-client,Major,100
31d05aec805751da894778384865c5a66f5efed5,OLTU-120,Bug,Invalid URL for Microsoft token endpoint in OAuthProviderType,,Trivial,100
