e3fd21f0a204b5f196732fc594a16bf4baa65ccb,OPENJPA-2871,Bug,upgrade to xbean-4.20 to remove transitive ASM dependency,build / infrastructure,Major,100
49116c7f8e1556b8aec4772409976ccba1172a85,OPENJPA-2816,New Feature,Add HerdDB DBDictionary,third-party,Major,100
25af7c35ee04fd198e95a5e3767530852a432ee6,OPENJPA-2849,Bug,select(max) etc of LocalDate  LocalDateTime etc leads to ClassCastException,jdbc,Major,100
477d73a99682f4b029e1f52767e70a6061a04ad3,OPENJPA-2816,New Feature,Add HerdDB DBDictionary,third-party,Major,100
f3c65f01ade84a50f6232cd4c279c4bd948ee14b,/,/,    Start HerdDB profile,/,/,100
6a7addea165174ada761297d9213b2afcff904bd,OPENJPA-2868,Improvement,update reserved column names list for various of our DBDictionaries,jdbc,Major,100
cb4e47b82c5ebd308a4ff6f049c353b0dbfbcf2f,OPENJPA-2816,New Feature,Add HerdDB DBDictionary,third-party,Major,100
813154a570797b35a0c5d0469817775cd58ae525,OPENJPA-2861,Bug,select sum(CASE x WHEN x THEN 1 ELSE 0 ) returns String instead of Long.,kernel,Major,100
31d2d862b74bfdcc6088e3c078dfde0098b42423,OPENJPA-2868,Improvement,update reserved column names list for various of our DBDictionaries,jdbc,Major,100
8e18fdbbbc29f39764f969168dcec58583721f39,OPENJPA-2865,Bug,[Oracle] use native java.time JDBC features,jdbc,Major,100
c780084ccdec85c1e98a3cf144f9e0e7bdf117fb,OPENJPA-2870,Improvement,update specification-version to 2.2,build / infrastructure,Major,100
f8667f564d90a3087bded08c8d2ed600501a176e,OPENJPA-2868,Improvement,update reserved column names list for various of our DBDictionaries,jdbc,Major,100
8e3b81521fd21243c52fe27ec0d7b3b5dd10462d,/,/,    switch back to dbcp for oracle as well,/,/,100
d78bfc47cb505aad70f1d7380df11dfa65440a8e,OPENJPA-2866,Bug,[Oracle] add GenerationType#IDENTITY support for Oracle,jdbc,Major,100
5dc56fa17b54cb9762f536e9ba42411c62baa9ed,OPENJPA-2868,Improvement,update reserved column names list for various of our DBDictionaries,jdbc,Major,100
d8b3fd87ff111ab071a95dcc137fc340f7434b07,OPENJPA-2868,Improvement,update reserved column names list for various of our DBDictionaries,jdbc,Major,100
b99e2dba29aa41bfe30ede461feb8c6ebd3801a5,OPENJPA-2868,Improvement,update reserved column names list for various of our DBDictionaries,jdbc,Major,100
8f959cc3a543cc414e03d9f25e5a270396f943aa,OPENJPA-2868,Improvement,update reserved column names list for various of our DBDictionaries,jdbc,Major,100
90ba3b8d5df3ec2843e85d85edf258970dd6900b,/,/,    fix Spec compat tests to work with all DBs,/,/,94.2576669
d8bb07fe86f61a8d62c8701e425383d0cc3ba545,OPENJPA-2868,Improvement,update reserved column names list for various of our DBDictionaries,jdbc,Major,100
188ed235dc7c1e9db5b5f009d297fb297b4af1cf,OPENJPA-2867,Improvement,generate list of reserved Words via unit test,jdbc,Major,100
7d3c89c5159fe78222f41bc528d789b68462f284,OPENJPA-2867,Improvement,generate list of reserved Words via unit test,jdbc,Major,99.99330252
